RSS 5G,RSS 4G,Ad 5G,Ad 4G,Humidity
-77.239,-55.0314,10.8958,2.21436,57
-76.9392,-54.9693,10.596,2.15228,55
-76.8902,-54.9575,10.5471,2.14046,54
-76.8348,-54.9458,10.4916,2.1288,53
-76.6692,-54.9136,10.326,2.09658,52
-76.6406,-54.9071,10.2974,2.09005,55
-76.8827,-54.9561,10.5395,2.13904,56
-76.9022,-54.9611,10.5591,2.14401,59
-77.3715,-55.0531,11.0283,2.23605,63
-77.6834,-55.118,11.3402,2.30099,67
-78.0327,-55.1911,11.6896,2.37406,72
-78.5724,-55.3035,12.2293,2.48647,75
-79.1007,-55.4105,12.7576,2.59341,78
-79.3628,-55.4679,13.0197,2.6509,77
-79.3433,-55.4615,13.0002,2.6445,80
-79.881,-55.5716,13.5378,2.75452,78
-79.5044,-55.4947,13.1612,2.67766,79
-79.7377,-55.5416,13.3946,2.72455,77
-79.4928,-55.4897,13.1497,2.67267,74
-78.7298,-55.338,12.3866,2.52094,75
-78.9005,-55.3727,12.5573,2.55565,77
-79.4741,-55.4862,13.131,2.66915,77
-79.3713,-55.4668,13.0282,2.64978,78
-79.7222,-55.5357,13.379,2.7187,79
-80.1416,-55.6175,13.7985,2.8005,79
-80.0452,-55.5995,13.7021,2.78241,79
-79.7473,-55.5434,13.4042,2.72636,80
-80.0559,-55.6046,13.7128,2.78751,80
-79.9976,-55.5936,13.6544,2.77651,80
-79.8131,-55.5587,13.4699,2.74169,80
-79.7066,-55.5386,13.3634,2.72153,79
-79.709,-55.5362,13.3658,2.71912,76
-79.0035,-55.3947,12.6603,2.57765,78
-79.278,-55.4519,12.9349,2.63485,79
-79.4987,-55.4964,13.1555,2.67935,71
-78.4517,-55.2785,12.1085,2.46142,67
-77.9993,-55.1848,11.6561,2.36779,71
-78.6085,-55.3079,12.2653,2.49088,76
-79.1322,-55.419,12.7891,2.60198,79
-79.6133,-55.5181,13.2701,2.70104,80
-79.5616,-55.5111,13.2185,2.69404,83
-80.0047,-55.6038,13.6616,2.78671,80
-79.2631,-55.4543,12.92,2.63724,81
-79.6368,-55.5281,13.2936,2.71107,76
-78.7651,-55.3495,12.4219,2.53246,73
-78.2996,-55.2542,11.9564,2.43715,74
-78.5954,-55.3125,12.2522,2.49551,78
-79.3251,-55.4608,12.982,2.64377,82
-79.8727,-55.5758,13.5296,2.75874,82
-80.101,-55.6191,13.7579,2.80208,85
-81.0667,-55.8113,14.7235,2.99423,85
-80.848,-55.77,14.5049,2.95291,85
-81.0041,-55.7995,14.661,2.98242,85
-81.1397,-55.825,14.7965,3.008,83
-80.6605,-55.728,14.3173,2.91094,78
-79.3911,-55.4733,13.048,2.65625,71
-78.4691,-55.2817,12.1259,2.46469,69
-77.9442,-55.1785,11.601,2.36143,67
-77.741,-55.1362,11.3978,2.31918,65
-77.3516,-55.0591,11.0084,2.24204,61
-77.2074,-55.0255,10.8643,2.20842,59
-77.0827,-54.999,10.7395,2.182,59
-77.3324,-55.0458,10.9892,2.22874,61
-77.564,-55.0923,11.2209,2.27522,62
-77.8832,-55.1535,11.5401,2.33641,60
-77.5528,-55.0885,11.2096,2.27145,59
-77.5127,-55.0794,11.1696,2.26235,57
-77.1006,-54.9995,10.7574,2.18249,55
-76.9738,-54.9731,10.6306,2.15606,54
-76.7896,-54.9374,10.4464,2.12035,53
-76.729,-54.9248,10.3858,2.10778,51
-76.4437,-54.869,10.1005,2.05201,51
-76.6652,-54.9105,10.3221,2.09347,52
-76.7299,-54.9238,10.3867,2.10674,53
-76.8414,-54.9458,10.4982,2.12878,54
-76.8348,-54.9458,10.4916,2.1288,54
-76.8046,-54.9402,10.4615,2.12317,55
-76.6558,-54.9135,10.3126,2.09648,56
-76.568,-54.8982,10.2249,2.08117,56
-76.4321,-54.8725,10.0889,2.05546,58
-76.6862,-54.923,10.343,2.10596,59
-76.9041,-54.9655,10.5609,2.14841,65
-77.4492,-55.0775,11.106,2.26049,68
-77.9159,-55.1711,11.5728,2.35411,68
-78.1264,-55.2108,11.7833,2.39371,71
-78.443,-55.2768,12.0998,2.45978,74
-78.8286,-55.3566,12.4854,2.53959,76
-79.1322,-55.419,12.7891,2.60198,74
-78.7657,-55.3448,12.4226,2.52772,73
-78.3967,-55.2726,12.0535,2.45558,75
-78.701,-55.3349,12.3578,2.5179,78
-79.1652,-55.4305,12.822,2.61344,77
-79.1198,-55.4193,12.7767,2.60224,77
-79.0455,-55.4052,12.7023,2.58816,76
-79.0402,-55.4016,12.6971,2.5846,78
-79.3628,-55.4679,13.0197,2.6509,76
-78.9208,-55.379,12.5777,2.56201,76
-78.8383,-55.3634,12.4952,2.54637,77
-78.9527,-55.3876,12.6096,2.57056,72
-78.0302,-55.2009,11.687,2.38385,71
-77.898,-55.1737,11.5549,2.35669,70
-77.967,-55.1848,11.6238,2.36777,63
-77.3054,-55.0471,10.9622,2.23002,55
-76.6708,-54.9164,10.3277,2.09932,64
-77.4765,-55.081,11.1333,2.26392,59
-76.9661,-54.9771,10.623,2.1601,56
-76.6286,-54.9096,10.2854,2.09259,56
-76.6286,-54.9096,10.2854,2.09259,55
-76.5052,-54.8852,10.162,2.06812,61
-77.097,-55.0047,10.7539,2.18764,67
-77.8158,-55.1503,11.4727,2.33329,72
-78.3444,-55.2605,12.0012,2.44343,74
-78.4881,-55.2922,12.1449,2.47517,73
-78.4144,-55.276,12.0712,2.45893,72
-78.0824,-55.2108,11.7393,2.39378,76
-78.628,-55.3234,12.2849,2.5064,70
-77.8731,-55.167,11.5299,2.34997,62
-77.0842,-55.0038,10.7411,2.18672,61
-76.9712,-54.9809,10.6281,2.1639,61
-77.1916,-55.0225,10.8485,2.20545,75
-78.8369,-55.3607,12.4938,2.54364,74
-78.7119,-55.3346,12.3687,2.51755,76
-79.1507,-55.4225,12.8075,2.60546,77
-79.4554,-55.4827,13.1123,2.66563,79
-79.8529,-55.5633,13.5097,2.74625,73
-78.7692,-55.343,12.4261,2.52592,71
-78.3474,-55.2588,12.0043,2.44178,68
-77.8068,-55.1506,11.4637,2.33352,65
-77.5225,-55.0914,11.1793,2.27433,56
-76.6893,-54.9211,10.3461,2.10402,54
-76.6768,-54.9163,10.3336,2.09922,53
-76.7964,-54.9374,10.4532,2.12038,52
-76.969,-54.9683,10.6259,2.15125,48
-76.6108,-54.8969,10.2677,2.07981,48
-76.4142,-54.8602,10.071,2.04318,46
-76.2312,-54.8239,9.88804,2.00681,42
-75.7882,-54.7367,9.44501,1.91964,39
-75.4534,-54.6706,9.11023,1.85358,32
-75.0011,-54.5773,8.65792,1.76023,33
-75.2402,-54.6235,8.89699,1.80642,34
-75.3469,-54.6448,9.00373,1.82775,35
-75.4246,-54.6606,9.08144,1.84359,37
-75.566,-54.6896,9.22285,1.87251,39
-75.8299,-54.7412,9.48678,1.92418,41
-75.9941,-54.7741,9.6509,1.95709,43
-76.0424,-54.7854,9.69928,1.96832,43
-76.2827,-54.8301,9.93957,2.01309,44
-76.428,-54.8583,10.0849,2.04122,45
-76.4521,-54.8639,10.1089,2.04684,46
-76.5408,-54.8815,10.1976,2.06447,46
-76.6204,-54.8963,10.2772,2.07922,48
-76.4796,-54.8724,10.1365,2.05539,50
-76.6168,-54.9003,10.2737,2.08326,51
-76.5691,-54.8925,10.2259,2.0755,52
-76.4552,-54.8723,10.112,2.05528,53
-76.401,-54.8632,10.0578,2.0462,53
-76.4753,-54.8772,10.1321,2.06019,53
-76.5423,-54.8898,10.1991,2.07279,54
-76.4894,-54.881,10.1463,2.064,57
-76.8319,-54.9492,10.4888,2.13214,60
-77.1513,-55.0134,10.8081,2.19636,64
-77.6305,-55.1099,11.2873,2.29287,66
-77.8109,-55.1475,11.4677,2.33045,70
-78.4046,-55.2673,12.0615,2.45031,72
-78.7309,-55.3333,12.3878,2.51627,73
-78.8048,-55.3497,12.4617,2.53263,66
-77.9847,-55.1801,11.6416,2.36306,65
-77.7104,-55.1267,11.3673,2.3097,70
-78.3702,-55.2609,12.027,2.44383,72
-78.5373,-55.2969,12.1941,2.47985,68
-78.3209,-55.2472,11.9778,2.43016,67
-77.9242,-55.1707,11.581,2.35368,68
-78.0253,-55.1917,11.6821,2.3747,70
-78.3788,-55.2625,12.0356,2.44545,74
-79.0177,-55.3922,12.6746,2.57519,68
-78.0758,-55.2012,11.7327,2.38421,74
-78.9817,-55.3854,12.6385,2.56841,75
-79.119,-55.4139,12.7758,2.59685,75
-79.1281,-55.4156,12.7849,2.59856,78
-79.495,-55.4929,13.1518,2.67588,79
-79.4891,-55.4946,13.146,2.67754,77
-79.0362,-55.4034,12.6931,2.5864,74
-78.6222,-55.3176,12.2791,2.5006,75
-78.6467,-55.3246,12.3036,2.5076,72
-78.1173,-55.2174,11.7741,2.4004,65
-77.3597,-55.0606,11.0165,2.24358,63
-77.2334,-55.0335,10.8902,2.21644,65
-77.4003,-55.0683,11.0572,2.25126,66
-77.6048,-55.1087,11.2616,2.29163,76
-79.0862,-55.4103,12.7431,2.59329,73
-78.7514,-55.3396,12.4083,2.52257,70
-78.4995,-55.2852,12.1564,2.46811,70
-78.5773,-55.2997,12.2342,2.48268,70
-78.5514,-55.2949,12.2082,2.47782,70
-78.3702,-55.2609,12.027,2.44383,66
-77.9433,-55.1723,11.6001,2.35529,72
-78.4583,-55.282,12.1151,2.46495,70
-78.0867,-55.2075,11.7436,2.39042,66
-77.6295,-55.1133,11.2863,2.29629,61
-77.3576,-55.0537,11.0145,2.23662,56
-76.7196,-54.9268,10.3765,2.10973,51
-76.51,-54.8815,10.1668,2.06444,51
-76.6948,-54.916,10.3517,2.09899,50
-76.5065,-54.8797,10.1633,2.06266,49
-76.4307,-54.8644,10.0875,2.04737,45
-76.3803,-54.8506,10.0371,2.03351,43
-76.3253,-54.838,9.98214,2.021,41
-76.1198,-54.7975,9.77666,1.9805,39
-75.9264,-54.7592,9.58325,1.94215,38
-75.8556,-54.7448,9.51249,1.92777,40
-75.9749,-54.7694,9.63174,1.95237,38
-75.8488,-54.7435,9.50563,1.92649,37
-75.8923,-54.7503,9.54909,1.93329,35
-75.8473,-54.7392,9.50413,1.92218,34
-75.8065,-54.7302,9.46337,1.91315,32
-75.6151,-54.6916,9.27189,1.87458,32
-75.5624,-54.6819,9.2192,1.86485,32
-75.4244,-54.6563,9.08128,1.8393,32
-75.359,-54.6442,9.01581,1.82713,33
-75.2467,-54.6247,8.90355,1.80765,34
-75.3337,-54.6423,8.9905,1.82527,35
-75.3447,-54.6457,9.0015,1.82862,36
-75.4662,-54.6697,9.12306,1.85263,39
-75.6446,-54.7066,9.30145,1.88952,44
-75.9875,-54.7761,9.64432,1.95908,48
-76.067,-54.7951,9.72384,1.97806,48
-76.0094,-54.7842,9.66627,1.96721,53
-76.1936,-54.8241,9.8504,2.00702,58
-76.579,-54.9027,10.2358,2.08568,57
-76.702,-54.9247,10.3589,2.10768,65
-77.6777,-55.1206,11.3345,2.30354,74
-78.8826,-55.3668,12.5394,2.54976,76
-79.3352,-55.4573,12.992,2.64022,78
-79.8361,-55.5571,13.493,2.74011,77
-79.4461,-55.4809,13.1029,2.66387,77
-79.1849,-55.4316,12.8418,2.61457,77
-79.2128,-55.4369,12.8697,2.61985,78
-79.3063,-55.4572,12.9631,2.6402,76
-78.8475,-55.3651,12.5043,2.5481,74
-78.6939,-55.3312,12.3508,2.51416,70
-78.3788,-55.2625,12.0356,2.44545,70
-78.3185,-55.2512,11.9754,2.43412,68
-78.0843,-55.2028,11.7411,2.38579,66
-77.8936,-55.163,11.5504,2.34598,66
-77.9267,-55.1692,11.5836,2.35219,69
-78.2075,-55.2281,11.8643,2.41106,72
-78.8722,-55.3598,12.529,2.54277,67
-78.2422,-55.2303,11.899,2.41327,67
-78.1248,-55.2084,11.7816,2.39132,69
-78.0799,-55.2041,11.7367,2.38705,72
-78.2919,-55.2505,11.9487,2.4335,72
-78.2919,-55.2505,11.9487,2.4335,76
-78.9851,-55.3912,12.6419,2.57417,79
-79.7377,-55.5416,13.3946,2.72455,78
-79.5801,-55.509,13.2369,2.69193,80
-80.0073,-55.5954,13.6641,2.77835,78
-79.6842,-55.5286,13.3411,2.71156,77
-79.3433,-55.4615,13.0002,2.6445,77
-79.2128,-55.4369,12.8697,2.61985,74
-78.9186,-55.3736,12.5754,2.55654,74
-78.9907,-55.3871,12.6475,2.5701,77
-79.1849,-55.4316,12.8418,2.61457,78
-79.3063,-55.4572,12.9631,2.6402,80
-79.6776,-55.5331,13.3344,2.71603,76
-78.8933,-55.3738,12.5502,2.55679,74
-78.5596,-55.3058,12.2164,2.48873,78
-79.3157,-55.459,12.9726,2.64198,79
-79.5846,-55.5127,13.2415,2.69562,78
-79.231,-55.443,12.8878,2.62593,75
-78.7101,-55.3367,12.3669,2.51961,73
-78.3525,-55.2642,12.0094,2.4472,69
-77.9611,-55.1817,11.6179,2.36464,64
-77.3149,-55.0505,10.9717,2.23345,60
-76.9948,-54.984,10.6517,2.16692,56
-76.8717,-54.9553,10.5286,2.1383,52
-76.7523,-54.9279,10.4091,2.11091,50
-76.4111,-54.8618,10.068,2.04481,47
-76.3258,-54.8426,9.98265,2.02557,46
-76.3749,-54.8507,10.0317,2.03363,45
-76.0875,-54.7959,9.74438,1.97887,43
-75.8387,-54.7472,9.49553,1.93014,41
-75.8548,-54.7481,9.51166,1.93108,40
-75.7673,-54.7306,9.42411,1.9136,39
-75.7406,-54.7245,9.39743,1.90749,38
-75.7462,-54.7244,9.40299,1.90736,36
-75.5132,-54.6785,9.17008,1.86142,36
-75.4193,-54.6609,9.0761,1.84383,35
-75.3713,-54.6506,9.02813,1.83361,33
-75.1223,-54.6014,8.77913,1.78434,33
-75.0831,-54.594,8.73994,1.77698,32
-75.2349,-54.6211,8.89175,1.80402,33
-75.3058,-54.6357,8.96264,1.8187,33
-75.2861,-54.6321,8.94293,1.81501,33
-75.227,-54.621,8.88388,1.80397,35
-75.5448,-54.6831,9.20169,1.86604,39
-75.6309,-54.704,9.28776,1.88695,42
-75.9628,-54.7694,9.6196,1.95235,44
-76.0087,-54.7801,9.66552,1.96306,47
-76.3691,-54.8507,10.026,2.03367,47
-76.2033,-54.8197,9.86014,2.00265,50
-76.5506,-54.8879,10.2074,2.0709,54
-76.767,-54.9332,10.4238,2.11612,64
-77.6223,-55.1084,11.2792,2.29134,69
-77.9442,-55.1785,11.601,2.36143,74
-78.8016,-55.3515,12.4585,2.5345,68
-77.7649,-55.1426,11.4218,2.32559,69
-77.7581,-55.1433,11.4149,2.32622,69
-77.8257,-55.1561,11.4825,2.33902,59
-77.0671,-54.9961,10.724,2.17908,59
-76.9041,-54.9655,10.5609,2.14841,67
-77.6746,-55.1237,11.3314,2.30664,61
-77.1049,-55.0062,10.7618,2.18913,55
-76.6256,-54.9079,10.2824,2.09081,54
-76.4521,-54.874,10.1089,2.05695,61
-77.0498,-54.9958,10.7067,2.17874,62
-77.1793,-55.0217,10.8362,2.20468,69
-77.995,-55.1881,11.6519,2.37104,68
-78.0253,-55.1917,11.6821,2.3747,68
-77.8907,-55.1664,11.5476,2.34936,65
-77.6695,-55.119,11.3263,2.30201,66
-77.9516,-55.1739,11.6084,2.35685,62
-77.5779,-55.0966,11.2348,2.27952,53
-76.6692,-54.9136,10.326,2.09658,60
-77.3713,-55.0546,11.0281,2.23758,71
-78.4865,-55.285,12.1433,2.46797,71
-78.4952,-55.2866,12.152,2.4696,69
-78.3184,-55.2489,11.9752,2.43188,68
-78.4312,-55.2678,12.088,2.45076,70
-78.4995,-55.2852,12.1564,2.46811,69
-78.3525,-55.2553,12.0094,2.43828,69
-78.2672,-55.2393,11.924,2.42227,60
-77.2611,-55.034,10.918,2.21697,64
-77.4199,-55.0703,11.0767,2.25326,64
-77.728,-55.1282,11.3848,2.31115,62
-77.5059,-55.0831,11.1628,2.26605,59
-77.3011,-55.0399,10.9579,2.2229,56
-76.8641,-54.9539,10.521,2.13687,56
-76.8337,-54.9482,10.4905,2.13116,55
-76.4601,-54.8766,10.1169,2.05961,45
-76.052,-54.7892,9.70883,1.97221,61
-76.932,-54.9735,10.5888,2.15648,62
-77.2667,-55.0382,10.9236,2.22114,60
-77.0495,-54.9943,10.7064,2.17722,57
-77.039,-54.988,10.6959,2.17098,50
-76.4845,-54.8756,10.1413,2.05854,49
-76.687,-54.9122,10.3438,2.09515,51
-76.5912,-54.8967,10.2481,2.07965,50
-76.7496,-54.925,10.4065,2.10799,49
-76.511,-54.8794,10.1679,2.06238,48
-76.4942,-54.8751,10.151,2.0581,48
-76.4578,-54.8684,10.1146,2.05132,46
-76.4685,-54.8681,10.1254,2.05106,44
-76.129,-54.8026,9.78588,1.98558,42
-76.0749,-54.7903,9.73176,1.97329,40
-75.9749,-54.7694,9.63174,1.95237,39
-75.7612,-54.7284,9.41803,1.91134,39
-75.7887,-54.7335,9.44551,1.91648,39
-75.8231,-54.7399,9.4799,1.9229,39
-75.9195,-54.7579,9.57635,1.94087,37
-75.7492,-54.7237,9.40599,1.9067,38
-75.7735,-54.7295,9.43033,1.91246,36
-75.5065,-54.6772,9.16336,1.86017,36
-75.5873,-54.6923,9.24409,1.87525,35
-75.4513,-54.6656,9.10813,1.84858,39
-75.6583,-54.7091,9.31515,1.89209,39
-75.8093,-54.7374,9.46614,1.92033,40
-75.9471,-54.7642,9.60399,1.9472,44
-76.2569,-54.8265,9.91373,2.00942,48
-76.4287,-54.8629,10.0856,2.04589,51
-76.5026,-54.8801,10.1595,2.06306,55
-76.8372,-54.9476,10.494,2.13053,62
-77.3782,-55.0591,11.035,2.2421,66
-77.646,-55.1164,11.3028,2.2994,64
-77.4765,-55.081,11.1333,2.26392,64
-77.3956,-55.0657,11.0525,2.24869,66
-77.3586,-55.0621,11.0155,2.24506,68
-77.5893,-55.1094,11.2461,2.29233,66
-77.416,-55.073,11.0728,2.25593,67
-77.5834,-55.1064,11.2402,2.28939,62
-77.1476,-55.0157,10.8045,2.19869,63
-77.4417,-55.0727,11.0986,2.25569,65
-77.7186,-55.1283,11.3754,2.31123,64
-77.5088,-55.0871,11.1657,2.27001,68
-77.9748,-55.1822,11.6316,2.3652,71
-78.5213,-55.2916,12.1781,2.47451,71
-78.3301,-55.2555,11.9869,2.43851,69
-78.0374,-55.1961,11.6943,2.37904,67
-78.0662,-55.1974,11.723,2.38034,65
-77.8006,-55.1437,11.4574,2.32661,68
-77.9411,-55.1759,11.598,2.35886,65
-77.7596,-55.136,11.4164,2.31892,60
-77.3792,-55.0561,11.036,2.23905,63
-77.4417,-55.0727,11.0986,2.25569,63
-77.5543,-55.0939,11.2112,2.27683,62
-77.5619,-55.0936,11.2187,2.27653,67
-78.1583,-55.2146,11.8151,2.39759,60
-77.1827,-55.0193,10.8395,2.20225,60
-77.2611,-55.034,10.918,2.21697,63
-77.3294,-55.0516,10.9863,2.23455,65
-77.5306,-55.0929,11.1875,2.27586,66
